J48_pruning,J48_confidenceFactorValue,probability
confidenceFactor,0.05,0.20
confidenceFactor,0.15,0.20
confidenceFactor,0.25,0.20
confidenceFactor,0.35,0.20
confidenceFactor,0.45,0.20
confidenceFactor,null,0.0
reducedErrorPruning,0.05,0.0
reducedErrorPruning,0.15,0.0
reducedErrorPruning,0.25,0.0
reducedErrorPruning,0.35,0.0
reducedErrorPruning,0.45,0.0
reducedErrorPruning,null,1.0
unpruned,0.05,0.0
unpruned,0.15,0.0
unpruned,0.25,0.0
unpruned,0.35,0.0
unpruned,0.45,0.0
unpruned,null,1.0
null,0.05,0.0
null,0.15,0.0
null,0.25,0.0
null,0.35,0.0
null,0.45,0.0
null,null,1.0